Hour,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,mean
8,34.09090909090909,0.0,62.30769230769231,0.0,0.0,0.0,60.0,0.0,19.549825174825173
9,34.09090909090909,0.0,62.30769230769231,0.0,0.0,0.0,0.0,0.0,12.049825174825175
10,34.09090909090909,0.0,62.30769230769231,0.0,0.0,0.0,0.0,0.0,12.049825174825175
11,34.09090909090909,0.0,195.0,45.0,60.0,0.0,0.0,0.0,41.76136363636364
12,34.09090909090909,0.0,0.0,0.0,15.0,150.0,0.0,45.0,30.511363636363637
13,45.0,0.0,0.0,0.0,30.0,45.0,0.0,45.0,20.625
14,0.0,240.0,225.0,23.0,0.0,165.0,0.0,15.0,83.5
15,0.0,0.0,45.0,0.0,0.0,0.0,225.0,15.0,35.625
16,15.0,15.0,0.0,0.0,0.0,45.0,0.0,15.0,11.25
17,0.0,0.0,90.0,0.0,15.0,0.0,0.0,15.0,15.0
18,270.0,0.0,0.0,0.0,0.0,30.0,0.0,15.0,39.375
19,0.0,23.181818181818183,0.0,105.0,0.0,0.0,0.0,15.0,17.897727272727273
20,0.0,23.181818181818183,195.0,0.0,0.0,0.0,270.0,15.0,62.89772727272727
21,0.0,23.181818181818183,0.0,0.0,13.0,15.0,0.0,15.0,8.272727272727273
22,45.0,23.181818181818183,60.0,195.0,15.0,0.0,0.0,15.0,44.14772727272727
23,0.0,23.181818181818183,0.0,0.0,60.0,0.0,45.0,15.0,17.897727272727273
